rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
17114993,Terry's Turf Club,Hyde Park/Mount Lookout,"['Burger', 'Bar Food', 'Sandwich']",Moderately_priced,4.7,1038
17113965,Nada,Downtown,"['Breakfast', 'Mexican']",Pricey,4.6,933
17115298,Zip's Cafe,Hyde Park/Mount Lookout,"['Burger', 'Bar Food', 'Sandwich']",Inexpensive,4.7,694
17112031,Arthur's,Hyde Park/Mount Lookout,"['Burger', 'Bar Food', 'Sandwich']",Moderately_priced,4.7,632
17116251,Senate,Over-the-Rhine/Mount Auburn,['Bar Food'],Moderately_priced,4.6,596
17111905,Ambar India,Clifton/Avondale,"['Indian', 'Pakistani', 'Vegetarian']",Moderately_priced,4.5,538
17116879,Eli's BBQ,East End/Mount Washington,"['BBQ', 'Southern']",Inexpensive,4.9,567
17116915,Moerlein Lager House,Downtown,"['Burger', 'Bar Food']",Pricey,4.2,503
17116958,Bakersfield OTR,Over-the-Rhine/Mount Auburn,"['Mexican', 'California']",Inexpensive,4.7,499
17111885,Adriatico's Pizza,Clifton/Avondale,"['Italian', 'Pizza']",Inexpensive,4.9,519
17113275,Hofbrauhaus,Campbell County,['German'],Moderately_priced,4.2,523
17113924,Montgomery Inn,Montgomery,"['BBQ', 'Bar Food']",Pricey,3.9,513
17113867,Melt Eclectic Deli,Northside,"['Sandwich', 'Vegetarian']",Inexpensive,4.7,500
17116652,Taste of Belgium - Over The Rhine,Over-the-Rhine/Mount Auburn,"['Belgian', 'European', 'International']",Moderately_priced,4.3,371
17113221,Green Papaya,Hyde Park/Mount Lookout,"['Sushi', 'Thai', 'Vegetarian']",Moderately_priced,4.5,480
17117536,The Eagle Food and Beer Hall,Over-the-Rhine/Mount Auburn,['Southern'],Inexpensive,4.6,325
17113386,The Precinct,East End/Mount Washington,['Steak'],Priciest,4.4,448
17116462,A Tavola,Over-the-Rhine/Mount Auburn,"['Desserts', 'Italian', 'Pizza']",Moderately_priced,4.5,390
17117284,Sotto,Downtown,"['French', 'Italian', 'Tapas']",Pricey,4.3,186
17112740,Dewey's Pizza,Clifton/Avondale,['Pizza'],Moderately_priced,4.6,442
17114146,Pappadeaux Seafood Kitchen,Springdale,"['Seafood', 'Cajun']",Pricey,4.4,373
17115086,Via Vite,Downtown,"['Breakfast', 'Italian', 'Pizza']",Pricey,4.1,338
17116382,Pho Lang Thang,Over-the-Rhine/Mount Auburn,"['Sandwich', 'Vietnamese']",Inexpensive,4.8,358
17113183,Graeter's Ice Cream,Clifton/Avondale,"['Desserts', 'Ice Cream']",Inexpensive,4.6,406
17116399,Tom+Chee,Downtown,['Sandwich'],Inexpensive,4.4,349
17116084,Sammy's Gourmet Burgers and Beer,Blue Ash,"['Burger', 'Bar Food']",Moderately_priced,4.4,301
17112195,Boca,Downtown,"['American', 'French', 'Italian']",Pricey,4.3,334
17115942,Dusmesh Indian Restaurant,Northside,"['Indian', 'Pakistani']",Moderately_priced,4.8,339
17113497,Keystone Bar & Grill,Covington,"['Burger', 'Sandwich']",Inexpensive,4.2,305
17114597,Shanghai Mama's,Downtown,"['Asian', 'Chinese']",Inexpensive,4.2,301
17114481,Rock Bottom Brewery,Downtown,"['Burger', 'Bar Food', 'Sandwich']",Moderately_priced,4.0,305
