,rest_id,rest_name,locality,cuisines,cost_for_two,ratings,votes
0,17114993,Terry's Turf Club,Hyde Park/Mount Lookout,"['Burger', 'Bar Food', 'Sandwich']",$$,4.7,1038
1,17113965,Nada,Downtown,"['Breakfast', 'Mexican']",$$$,4.6,933
2,17115298,Zip's Cafe,Hyde Park/Mount Lookout,"['Burger', 'Bar Food', 'Sandwich']",$,4.7,694
3,17112031,Arthur's,Hyde Park/Mount Lookout,"['Burger', 'Bar Food', 'Sandwich']",$$,4.7,632
4,17116251,Senate,Over-the-Rhine/Mount Auburn,['Bar Food'],$$,4.6,596
5,17111905,Ambar India,Clifton/Avondale,"['Indian', 'Pakistani', 'Vegetarian']",$$,4.5,538
6,17116879,Eli's BBQ,East End/Mount Washington,"['BBQ', 'Southern']",$,4.9,567
7,17116915,Moerlein Lager House,Downtown,"['Burger', 'Bar Food']",$$$,4.2,503
8,17116958,Bakersfield OTR,Over-the-Rhine/Mount Auburn,"['Mexican', 'California']",$,4.7,499
9,17111885,Adriatico's Pizza,Clifton/Avondale,"['Italian', 'Pizza']",$,4.9,519
10,17113275,Hofbrauhaus,Campbell County,['German'],$$,4.2,523
11,17113924,Montgomery Inn,Montgomery,"['BBQ', 'Bar Food']",$$$,3.9,513
12,17113867,Melt Eclectic Deli,Northside,"['Sandwich', 'Vegetarian']",$,4.7,500
13,17116652,Taste of Belgium - Over The Rhine,Over-the-Rhine/Mount Auburn,"['Belgian', 'European', 'International']",$$,4.3,371
14,17113221,Green Papaya,Hyde Park/Mount Lookout,"['Sushi', 'Thai', 'Vegetarian']",$$,4.5,480
15,17117536,The Eagle Food and Beer Hall,Over-the-Rhine/Mount Auburn,['Southern'],$,4.6,325
16,17113386,The Precinct,East End/Mount Washington,['Steak'],$$$$,4.4,448
17,17116462,A Tavola,Over-the-Rhine/Mount Auburn,"['Desserts', 'Italian', 'Pizza']",$$,4.5,390
18,17117284,Sotto,Downtown,"['French', 'Italian', 'Tapas']",$$$,4.3,186
19,17112740,Dewey's Pizza,Clifton/Avondale,['Pizza'],$$,4.6,442
20,17114146,Pappadeaux Seafood Kitchen,Springdale,"['Seafood', 'Cajun']",$$$,4.4,373
21,17115086,Via Vite,Downtown,"['Breakfast', 'Italian', 'Pizza']",$$$,4.1,338
22,17116382,Pho Lang Thang,Over-the-Rhine/Mount Auburn,"['Sandwich', 'Vietnamese']",$,4.8,358
23,17113183,Graeter's Ice Cream,Clifton/Avondale,"['Desserts', 'Ice Cream']",$,4.6,406
24,17116399,Tom+Chee,Downtown,['Sandwich'],$,4.4,349
25,17116084,Sammy's Gourmet Burgers and Beer,Blue Ash,"['Burger', 'Bar Food']",$$,4.4,301
26,17112195,Boca,Downtown,"['American', 'French', 'Italian']",$$$,4.3,334
27,17115942,Dusmesh Indian Restaurant,Northside,"['Indian', 'Pakistani']",$$,4.8,339
28,17113497,Keystone Bar & Grill,Covington,"['Burger', 'Sandwich']",$,4.2,305
29,17114597,Shanghai Mama's,Downtown,"['Asian', 'Chinese']",$,4.2,301
30,17114481,Rock Bottom Brewery,Downtown,"['Burger', 'Bar Food', 'Sandwich']",$$,4.0,305
31,17113387,Jeff Ruby's Steakhouse,Downtown,"['Seafood', 'Steak']",$$$$,4.3,317
32,17117099,Incline Public House,Price Hill/Fairmount,"['Pizza', 'Sandwich']",$$,4.4,270
33,17112027,Arnold's Bar & Grill,Downtown,"['Burger', 'Bar Food', 'Sandwich']",$$,4.3,319
34,17114989,Tellers of Hyde Park,Hyde Park/Mount Lookout,"['Breakfast', 'International']",$$$,4.1,322
35,17112747,Dilly Café,Mariemont,['Cafe'],$$,4.3,292
36,17115340,Gordo's Pub & Grill,Norwood,"['Burger', 'Bar Food', 'Sandwich']",$$,4.4,268
37,17113612,Lemon Grass Thai Cuisine,Hyde Park/Mount Lookout,"['Thai', 'Vietnamese']",$,4.5,284
38,17112864,The Echo Restaurant,Hyde Park/Mount Lookout,"['American', 'Breakfast', 'Diner']",$,4.3,271
39,17116048,Newport Pizza Company,Campbell County,"['Italian', 'Pizza', 'Sandwich']",$,4.6,247
40,17112872,El Pueblo,Blue Ash,['Mexican'],$$,4.3,213
41,17113519,Krishna,Clifton/Avondale,['Indian'],$,4.9,250
42,17114322,Pompilio's Italian Restaurant,Campbell County,"['Burger', 'Italian', 'Bar Food']",$$,4.0,254
43,17115322,Aladdin's Eatery,West Chester,"['Mediterranean', 'Vegetarian', 'Lebanese']",$$,4.5,226
44,17116103,Shaan Indian Cuisine,Hyde Park/Mount Lookout,['Indian'],$$,4.6,249
45,17116312,Taqueria Mercado 3,Downtown,['Mexican'],$,4.3,234
46,17113702,Maggiano's,Deer Park/Madeira,['Italian'],$$$,4.3,255
47,17117303,Mazunte Taqueria Mexicana,Madisonville,['Mexican'],$,4.3,202
48,17113508,Knotty Pine on the Bayou,Cold Spring/Alexandria,"['Seafood', 'Southern', 'Cajun']",$$$,4.6,231
49,17113995,Nicholson's,Downtown,[],$$,4.1,209
50,17115251,Wild Ginger,Hyde Park/Mount Lookout,"['Sushi', 'Thai', 'Japanese']",$$,4.1,239
51,17116432,Jean-Robert's Table,Downtown,['French'],$$$$,4.2,211
52,17114873,Sugar n' Spice,Norwood,"['American', 'Diner', 'Sandwich']",$$,4.4,194
53,17113999,Nicola's,Over-the-Rhine/Mount Auburn,['Italian'],$$$$,4.2,210
54,17112160,Blue Ash Chili,Blue Ash,"['Breakfast', 'Sandwich', 'Chili']",$,4.2,211
55,17114355,Primavista,Price Hill/Fairmount,"['International', 'Italian', 'Vegetarian']",$$$,4.2,215
56,17116031,Wildflower Cafe,Mason,"['American', 'Coffee and Tea']",$$$,4.3,223
57,17116369,Flipdaddy's Burgers & Beers,Mariemont,"['Burger', 'Sandwich', 'Healthy Food']",$$,4.2,211
58,17116132,Ichiban Japanese Cuisine,Hyde Park/Mount Lookout,"['Japanese', 'Sushi']",$$$,4.6,196
59,17113219,Greek Isles,West Chester,"['European', 'Greek', 'Healthy Food']",$$$,4.4,196
60,17111907,Kung Food Chu's AmerAsia,Covington,['Chinese'],$,4.5,169
61,17114611,Silver Spring House,Symmes,"['Burger', 'Healthy Food']",$$,4.3,217
62,17117285,Yard House,Downtown,"['Burger', 'Bar Food', 'Seafood']",$$$,3.8,192
63,17114474,Riverside Korean,Covington,['Korean'],$$,4.4,209
64,17113525,La Mexicana,Campbell County,['Mexican'],$,4.5,188
65,17115001,Thai Express,Clifton/Avondale,['Thai'],$,4.9,194
66,17115280,The Works,Loveland,"['Italian', 'Pizza']",$$,4.2,202
67,17114354,Price Hill Chili,Price Hill/Fairmount,"['Chili', 'Diner']",$,4.5,214
68,17116262,El Jinete Mexican Restaurant,Fairfax,"['Mexican', 'Tex-Mex']",$,4.8,201
69,17116993,Brewriver GastroPub,Walnut Hills/Mount Adams,"['Bar Food', 'Burger']",$$$,4.0,175
70,17112352,Cactus Pear,Clifton/Avondale,"['Southwestern', 'Tex-Mex']",$$$,3.9,201
71,17113240,Habanero,Clifton/Avondale,"['Latin American', 'Mexican']",$,4.1,192
72,17112079,Bangkok Bistro,Hyde Park/Mount Lookout,"['Asian', 'Sushi', 'Thai']",$$,4.4,191
73,17116325,Sultan's Mediterranean Cuisine,West Chester,"['Mediterranean', 'Middle Eastern', 'Turkish']",$$,4.3,176
74,17114374,Quatman Cafe,Norwood,"['Burger', 'Bar Food', 'Chili', 'Cafe']",$,4.3,181
75,17112201,The BonBonerie,Hyde Park/Mount Lookout,"['Breakfast', 'European']",$,4.2,187
76,17113196,Grand Finale Restaurant,Springdale,"['American', 'Steak']",$$$,4.0,185
77,17111888,Aglamesis Brothers,Oakley/Pleasant Ridge,"['Desserts', 'Ice Cream']",$,4.5,199
78,17114889,Sweet Basil,Crescent Springs/Fort Wright,"['Sushi', 'Thai', 'Vegetarian']",$$,4.3,170
79,17113368,Jag's Steak & Seafood/Piano Bar,West Chester,"['Seafood', 'Steak', 'Sushi']",$$$$,4.0,177
80,17114057,Original Pancake House,Montgomery,"['Breakfast', 'Diner', 'Sandwich']",$,4.2,193
81,17115964,McCormick & Schmick's Seafood Restaurant,Downtown,"['Seafood', 'Steak']",$$$,3.9,165
82,17112135,Betta's Italian Oven,Norwood,"['Italian', 'Pizza', 'Sandwich']",$$,4.3,165
83,17112056,Baba India,Oakley/Pleasant Ridge,"['Indian', 'Pakistani']",$$,4.2,195
84,17114051,Orchids at Palm Court,Downtown,['American'],$$$$,4.1,164
85,17116201,Suzie Wong's on Madison,Walnut Hills/Mount Adams,"['Asian', 'Thai', 'Vietnamese']",$$,4.2,157
86,17116346,Tony's of Cincinnati,Symmes,"['Seafood', 'Steak']",$$$$,4.0,110
87,17116205,Baba's Shawarma Grill,Cheviot/Westwood,"['Greek', 'Mediterranean', 'Middle Eastern']",$,4.3,163
88,17117407,Ravis Hyderabad House,West Chester,['Indian'],$$,4.1,161
89,17113340,Krimmer's Italianette Pizza,Deer Park/Madeira,"['Italian', 'Pizza', 'Sandwich']",$$,4.5,169
90,17113273,Hitching Post Hyde Park Restaurant & Catering,Hyde Park/Mount Lookout,"['Breakfast', 'Burger']",$,4.2,160
91,17112239,BRIO Tuscan Grille,Campbell County,['Italian'],$$$,4.0,176
92,17112385,Camp Washington Chili,Price Hill/Fairmount,"['Diner', 'Sandwich', 'Chili']",$,4.3,180
93,17114653,Skyline Chili,Clifton/Avondale,['Chili'],$,4.1,194
94,17116596,The Firehouse Grill,Blue Ash,"['Burger', 'Pizza', 'Bar Food']",$,3.4,162
95,17111923,Andy's Mediterranean Grille,Walnut Hills/Mount Adams,"['Greek', 'Mediterranean', 'Middle Eastern']",$$,3.3,157
96,17116207,Tano Bistro & Catering,Loveland,"['American', 'International']",$$$,4.5,164
97,17113761,Marx Hot Bagels,Blue Ash,"['Sandwich', 'Bagels']",$,4.4,177
98,17116637,Abigail Street,Over-the-Rhine/Mount Auburn,"['Mediterranean', 'Tapas']",$$$,4.2,166
99,17117207,Kaze,Over-the-Rhine/Mount Auburn,"['Asian', 'Japanese', 'Sushi']",$$$,4.0,152
100,17116009,Tea 'n' Bowl,Clifton/Avondale,"['Asian', 'Chinese', 'Tea']",$,4.0,56
101,17112934,Ferrari's Little Italy and Bakery,Deer Park/Madeira,"['Italian', 'Pizza']",$$$,4.0,158
102,17114179,Pelicans Reef,Anderson Township,['Seafood'],$$$,4.4,165
103,17112243,Brown Dog Cafe,Blue Ash,"['Seafood', 'American', 'Bar Food']",$$$,4.0,150
104,17117121,Phoenician Taverna,Mason,"['Mediterranean', 'Middle Eastern']",$$$,4.4,115
105,17117424,Sleepy Bee Cafe,Oakley/Pleasant Ridge,"['Breakfast', 'Diner', 'Sandwich']",$$,4.0,137
106,17112716,Dee Felice Cafe,Covington,"['American', 'Southern', 'Cajun']",$$,4.0,160
107,17114058,Otto's,Covington,"['American', 'Breakfast']",$$$$,4.1,151
108,17116535,Copper Blue,Milford,['American'],$$,4.3,141
109,17111865,20 Brix,Milford,['Mediterranean'],$$$,4.0,141
110,17114255,Pitrelli's Italian Restaraunt,Mason,"['Italian', 'Pizza', 'Bar Food']",$$$,4.3,163
111,17116240,Mr. Sushi,Downtown,"['Korean', 'Seafood', 'Sushi']",$$$,4.1,149
112,17114467,Rio Grande Mexican,Campbell County,"['Mexican', 'Southwestern', 'Tex-Mex']",$,4.6,178
113,17114075,P.F. Chang's,Norwood,"['Asian', 'Chinese']",$$$,3.9,166
114,17112868,El Coyote,Anderson Township,"['Mexican', 'Steak', 'Tex-Mex']",$$$,4.0,152
115,17112409,Carlo & Johnny,Montgomery,"['Seafood', 'Steak']",$$$$,4.1,171
116,17116622,Holy Grail Tavern & Grille at The Banks,Downtown,"['Burger', 'Pizza', 'Bar Food']",$$,3.5,93
117,17116113,Green Dog Cafe,East End/Mount Washington,['Sandwich'],$$,3.8,147
118,17117010,Strongs Brick Oven Pizza,Campbell County,['Pizza'],$,4.3,139
119,17113522,Kyoto,Symmes,"['Japanese', 'Sushi']",$$,4.3,149
120,17112260,Buca di Beppo Italian Restaurant,Norwood,"['Italian', 'Pizza']",$$$,3.7,149
121,17112987,Fratelli's Pizzeria,West Chester,"['Italian', 'Pizza', 'Sandwich']",$$,4.1,146
122,17112468,Chicago Gyros and Dogs,Clifton/Avondale,"['Burger', 'Sandwich', 'Greek']",$,4.4,149
123,17114606,Sichuan Bistro,Mason,['Chinese'],$$,4.1,141
124,17116068,Miyako,Crescent Springs/Fort Wright,"['Japanese', 'Steak', 'Sushi']",$$$,4.3,137
125,17112597,Cock & Bull Public House,Covington,"['American', 'Burger']",$$,4.0,151
126,17116397,Bombay Brazier,Montgomery,['Indian'],$$$,4.3,99
127,17117110,The Anchor,Over-the-Rhine/Mount Auburn,"['Bar Food', 'Seafood']",$$$,4.0,124
128,17114805,Stone Creek Dining Company,Montgomery,"['American', 'Seafood', 'Steak']",$$$,4.1,143
129,17112454,The Cheesecake Factory,Deer Park/Madeira,"['Desserts', 'Pizza', 'Bar Food']",$$,3.9,159
130,17113242,Half Day Cafe,Wyoming/Arlington Heights/Reading,"['Breakfast', 'Coffee and Tea', 'Diner']",$,4.3,150
131,17115982,Padrino,Milford,"['Italian', 'Pizza', 'Healthy Food']",$$,4.2,125
132,17112151,BJ's Restaurant & Brewhouse,Springdale,"['American', 'Pizza', 'Bar Food']",$$,4.0,133
133,17114152,Parker's Blue Ash Tavern,Blue Ash,"['American', 'Seafood', 'Steak']",$$$,3.8,129
134,17114571,Scotti's,Downtown,['Italian'],$$$,3.8,119
135,17116691,Cock & Bull Public House,Hyde Park/Mount Lookout,"['American', 'Burger']",$$,3.4,118
136,17117025,Wunderbar!,Covington,"['Breakfast', 'German']",$,4.2,113
137,17116305,FUSIAN,Downtown,"['Asian', 'Japanese', 'Sushi']",$,4.5,138
138,17115043,Trio,Deer Park/Madeira,"['American', 'Pizza', 'Healthy Food']",$$$,4.1,149
139,17113709,Mai Thai,Florence,"['Sushi', 'Thai']",$$,4.4,146
140,17114740,Sorrento's Pizzeria,Norwood,"['Italian', 'Pizza']",$$$,3.7,68
141,17116099,Dojo Gelato,Over-the-Rhine/Mount Auburn,"['Coffee and Tea', 'Desserts', 'Italian']",$,4.2,150
142,17113241,Habits Cafe,Oakley/Pleasant Ridge,"['Burger', 'Bar Food', 'Sandwich']",$,4.0,139
143,17112679,Cincy Steak & Lemonade,Clifton/Avondale,"['Burger', 'Sandwich', 'Beverages']",$,4.4,85
144,17117233,Zula,Over-the-Rhine/Mount Auburn,"['Mediterranean', 'Seafood', 'Tapas']",$$,4.0,107
145,17116436,Banana Leaf Modern Thai,Mason,['Thai'],$$$,3.8,116
146,17115287,York St. Cafe,Campbell County,"['International', 'Sandwich']",$$$,4.2,136
147,17113236,Guru India,Crescent Springs/Fort Wright,"['Indian', 'Pakistani']",$$,4.3,133
148,17113986,New Krishna,Sharonville,"['Indian', 'Pakistani']",$$,4.1,127
149,17112218,Bouquet Restaurant,Covington,['French'],$$$,4.1,127
150,17114624,Sitwell's Coffee House,Clifton/Avondale,"['Coffee and Tea', 'Sandwich']",$,3.6,137
151,17114321,Pomodori's Pizzeria and Trattoria,Montgomery,['Pizza'],$$,4.0,98
